bin	bin_start_kb	bin_end_kb	count	is_cap_bin
[0,5)	0	5	0	FALSE
[5,10)	5	10	156	FALSE
[10,15)	10	15	454	FALSE
[15,20)	15	20	322	FALSE
[20,25)	20	25	1260	FALSE
[25,30)	25	30	1077	FALSE
[30,35)	30	35	161	FALSE
[35,40)	35	40	96	FALSE
[40,45)	40	45	707	FALSE
[45,50)	45	50	665	FALSE
[50,55)	50	55	145	FALSE
[55,60)	55	60	49	FALSE
[60,65)	60	65	430	FALSE
[65,70)	65	70	91	FALSE
[70,75)	70	75	883	FALSE
[75,80)	75	80	10	FALSE
[80,85)	80	85	3	FALSE
[85,90)	85	90	48	FALSE
[90,95)	90	95	42	FALSE
[95,100)	95	100	100	FALSE
[100,105)	100	105	752	FALSE
[105,110)	105	110	599	FALSE
[110,115)	110	115	62	FALSE
[115,120)	115	120	111	FALSE
[120,125)	120	125	562	FALSE
[125,130)	125	130	276	FALSE
[130,135)	130	135	47	FALSE
[135,140)	135	140	170	FALSE
[140,145)	140	145	205	FALSE
[145,150)	145	150	257	FALSE
[150,155)	150	155	201	FALSE
[155,160)	155	160	190	FALSE
[160,165)	160	165	147	FALSE
[165,170)	165	170	51	FALSE
[170,175)	170	175	232	FALSE
[175,180)	175	180	400	FALSE
[180,185)	180	185	234	FALSE
[185,190)	185	190	233	FALSE
[190,195)	190	195	89	FALSE
[195,200)	195	200	70	FALSE
[200,205)	200	205	248	FALSE
[205,210)	205	210	208	FALSE
[210,215)	210	215	219	FALSE
[215,220)	215	220	58	FALSE
[220,225)	220	225	98	FALSE
[225,230)	225	230	301	FALSE
[230,235)	230	235	151	FALSE
[235,240)	235	240	39	FALSE
[240,245)	240	245	24	FALSE
[245,250)	245	250	58	FALSE
[250,255)	250	255	297	FALSE
[255,260)	255	260	70	FALSE
[260,265)	260	265	24	FALSE
[265,270)	265	270	52	FALSE
[270,275)	270	275	12	FALSE
[275,280)	275	280	4	FALSE
[280,285)	280	285	11	FALSE
[285,290)	285	290	31	FALSE
[290,295)	290	295	32	FALSE
[295,300)	295	300	150	FALSE
[300,305)	300	305	49	FALSE
[305,310)	305	310	173	FALSE
[310,315)	310	315	38	FALSE
[315,320)	315	320	61	FALSE
[320,325)	320	325	66	FALSE
[325,330)	325	330	8	FALSE
[330,335)	330	335	401	FALSE
[335,340)	335	340	35	FALSE
[340,345)	340	345	2	FALSE
[345,350)	345	350	1	FALSE
[350,355)	350	355	2	FALSE
[355,360)	355	360	1	FALSE
[360,365)	360	365	1	FALSE
[365,370)	365	370	0	FALSE
[370,375)	370	375	0	FALSE
[375,380)	375	380	1	FALSE
[380,385)	380	385	0	FALSE
[385,390)	385	390	0	FALSE
[390,395)	390	395	1	FALSE
[395,400)	395	400	0	FALSE
[400,405)	400	405	0	FALSE
[405,410)	405	410	0	FALSE
[410,415)	410	415	1	FALSE
[415,420)	415	420	1	FALSE
[420,425)	420	425	2	FALSE
[425,430)	425	430	0	FALSE
[430,435)	430	435	1	FALSE
[435,440)	435	440	2	FALSE
[440,445)	440	445	2	FALSE
[445,450)	445	450	2	FALSE
[450,455)	450	455	1	FALSE
[455,460)	455	460	5	FALSE
[460,465)	460	465	1	FALSE
[465,470)	465	470	1	FALSE
[470,475)	470	475	1	FALSE
[475,480)	475	480	1	FALSE
[480,485)	480	485	3	FALSE
[485,490)	485	490	7	FALSE
[490,495)	490	495	13	FALSE
[495,500]	495	500	1110	TRUE
