window	res	stage	pair_norm	pair_raw	pair_sumsize	arm_norm	arm_raw	pair_n	arm_n
1Mb	5000	leptotene	0.545742588661431	0.610772467228367	0.560275948674266	0.576021295117353	0.666788981947482	159	75
1Mb	5000	zygotene	0.453133201747251	0.564740401879156	0.505410023143715	0.520630632125337	0.676453696142596	159	75
1Mb	5000	pachytene	0.416447025923808	0.523238840747587	0.459716123309305	0.487854397607254	0.627687852091758	159	75
1Mb	5000	diplotene	0.524476550275242	0.612409235462975	0.520940164730152	0.575034287321364	0.667214794918695	159	75
1Mb	10000	leptotene	0.371193362471856	0.496061261327824	0.347054496800903	0.473960848703672	0.608137361780083	159	75
1Mb	10000	zygotene	0.36058535964487	0.531800417287834	0.408363360170852	0.428722770734107	0.618738200668954	159	75
1Mb	10000	pachytene	0.359678707201335	0.506684435087562	0.364017393821893	0.466477466751047	0.599908315475837	159	75
1Mb	10000	diplotene	0.345684766010688	0.486150516744744	0.285624342170566	0.451563853809738	0.589102860464939	159	75
1Mb	20000	leptotene	0.274642355633282	0.539517336262598	0.231774761872211	0.321432411584669	0.62034664216898	159	75
1Mb	20000	zygotene	0.173909439589116	0.522307595128127	0.252851165901628	0.170895693890405	0.600492740863675	159	75
1Mb	20000	pachytene	0.298973593001533	0.562336539825141	0.304184569437298	0.358314351125935	0.646077110977329	159	75
1Mb	20000	diplotene	0.30850443509581	0.529363632243305	0.183026321996845	0.392530045132656	0.626008290454157	159	75
1Mb	50000	leptotene	0.384459452732526	0.479774327652349	0.285372210797151	0.421320631660349	0.514610183901088	159	75
1Mb	50000	zygotene	0.151289982784752	0.397869938391524	0.0770575953506591	0.187893875207846	0.431388253176613	159	75
1Mb	50000	pachytene	0.378057222095593	0.495460223292767	0.296553312179721	0.401622621006544	0.52586822062237	159	75
1Mb	50000	diplotene	0.313308947691705	0.369521572789876	0.228977909163615	0.359465512224375	0.462965777979028	159	75
1Mb	1e+05	leptotene	0.260675140609617	0.318668980355874	0.223886595552623	0.397594792107323	0.498707677056646	98	44
1Mb	1e+05	zygotene	0.243743192633618	0.380846657254607	0.188337930735048	0.20761802660537	0.367277855538692	141	63
1Mb	1e+05	pachytene	0.378803727444569	0.444377674449723	0.281712806976563	0.392727709812926	0.462974926212198	126	53
1Mb	1e+05	diplotene	0.352140090898677	0.40168643571904	0.30156471565539	0.421059294203443	0.501155117671469	112	44
2Mb	5000	leptotene	0.710960883618374	0.858312156584877	0.784576863910194	0.682490555078287	0.914926606443587	310	166
2Mb	5000	zygotene	0.640568935728857	0.839976266380607	0.773996579476157	0.617916709075724	0.914346393612812	310	166
2Mb	5000	pachytene	0.656421966519892	0.844726612870865	0.765229530906423	0.658317416891693	0.912168443129554	310	166
2Mb	5000	diplotene	0.649069011319948	0.810309160468096	0.708021935098049	0.653401172849557	0.878194189586112	310	166
2Mb	10000	leptotene	0.566200212086987	0.805986412759197	0.612899161897718	0.558769199021028	0.869225926413399	310	166
2Mb	10000	zygotene	0.523450103113208	0.81754673612178	0.680556506120105	0.525645663041017	0.898257062455966	310	166
2Mb	10000	pachytene	0.564089322036601	0.815786810005087	0.649358139686537	0.601565540235949	0.885588022753539	310	166
2Mb	10000	diplotene	0.522865669547761	0.763751103680593	0.49342373199362	0.536535208365309	0.810850788759887	310	166
2Mb	20000	leptotene	0.235383345194613	0.73176160842896	0.340620063871287	0.157044784403427	0.785895972858638	310	166
2Mb	20000	zygotene	0.26452072270515	0.791980457060769	0.492791881947059	0.196228489172016	0.865479706353278	310	166
2Mb	20000	pachytene	0.331736915069046	0.79108763001207	0.466593990804956	0.293242569733226	0.84360999209674	310	166
2Mb	20000	diplotene	0.246315415268151	0.680145998795576	0.198104221937192	0.196071021605528	0.69680804131679	310	166
2Mb	50000	leptotene	0.340948792138023	0.677804994056945	0.297310223398514	0.211137039764632	0.727651627502983	310	166
2Mb	50000	zygotene	0.0602597606781281	0.649509776769898	0.149992213603438	-0.104881835043986	0.727577485000771	310	166
2Mb	50000	pachytene	0.34707445322821	0.688802137736742	0.302152166701547	0.229714249783314	0.726545482075709	310	166
2Mb	50000	diplotene	0.353830527810301	0.559647573222293	0.26213265045953	0.218941634567378	0.521231040270229	310	166
2Mb	1e+05	leptotene	0.417732167468082	0.512387386613773	0.301678327052741	0.40031948171208	0.51565471986883	242	133
2Mb	1e+05	zygotene	0.242820643461549	0.63424505807413	0.234631281722205	0.199668336984155	0.697886223353851	286	166
2Mb	1e+05	pachytene	0.423844581297076	0.603050188647172	0.383790506796589	0.361152601562956	0.578413457405391	242	133
2Mb	1e+05	diplotene	0.431645726269466	0.525478102889266	0.326875070821394	0.363220946896023	0.448658325773313	242	133
4Mb	5000	leptotene	0.698171446601211	0.907573899357741	0.856367365258687	0.628482412765922	0.929685887380369	442	224
4Mb	5000	zygotene	0.614455056138368	0.895967121711349	0.8516386198	0.541465352022857	0.928225837411476	442	224
4Mb	5000	pachytene	0.637817409305957	0.901792895402747	0.84782430984454	0.575738932491721	0.929572534593694	442	224
4Mb	5000	diplotene	0.632473431063093	0.886749119524555	0.825997329867559	0.578589366267094	0.922386666565608	442	224
4Mb	10000	leptotene	0.523739964991942	0.888183557128579	0.766077750174369	0.457597159621343	0.920243514164024	442	224
4Mb	10000	zygotene	0.499787421216452	0.888725961987909	0.802421031658187	0.400609988072517	0.925984893291668	442	224
4Mb	10000	pachytene	0.526199173091808	0.890052977638195	0.787488345960657	0.469679850297578	0.92290946618801	442	224
4Mb	10000	diplotene	0.449590099903967	0.867688996572486	0.706215410595532	0.419804207465463	0.907427947709166	442	224
4Mb	20000	leptotene	0.210539186945705	0.859406254041808	0.615148808474777	0.135842371701572	0.900312383190099	442	224
4Mb	20000	zygotene	0.283775446276873	0.875303076425226	0.682454557042984	0.212943908955966	0.909445914013626	442	224
4Mb	20000	pachytene	0.293408078721594	0.872309431430342	0.672501681255723	0.201865793885317	0.907358703175635	442	224
4Mb	20000	diplotene	0.106220513572736	0.815843824720583	0.492037162413223	-0.032670385434242	0.830496366171677	442	224
4Mb	50000	leptotene	0.232166127385653	0.81791543973637	0.541535438043799	0.0994773865816993	0.839178215271664	442	224
4Mb	50000	zygotene	0.0684337578539532	0.817166695576364	0.504819389201721	-0.0407060593310501	0.883260768956273	442	224
4Mb	50000	pachytene	0.248078650008382	0.819494810381952	0.544170286387387	0.122336652903289	0.827927262794531	442	224
4Mb	50000	diplotene	0.297649108432299	0.715929055344111	0.463900266289875	0.139861351984619	0.681787389115129	442	224
