window	res	stage	pair_norm	pair_raw	pair_sumsize	arm_norm	arm_raw	pair_n	arm_n
1Mb	5000	leptotene	0.7670711347137	0.888401933137512	0.868694609291407	0.7604914246053	0.937291115136507	1135	344
1Mb	5000	zygotene	0.756250044324853	0.888945970245045	0.873557654632339	0.76513197577524	0.936647391651562	1135	344
1Mb	5000	pachytene	0.756247455102392	0.891837197482657	0.874945431504204	0.781325301341975	0.936569984833121	1135	344
1Mb	5000	diplotene	0.738136659493489	0.880687714853726	0.853546097719222	0.720634582922577	0.932204561553005	1135	344
1Mb	10000	leptotene	0.718088223168151	0.858523553059881	0.812618167897638	0.72674965444277	0.930336885496939	1135	344
1Mb	10000	zygotene	0.722907164354586	0.875357548832679	0.854898661079109	0.732666595395365	0.935382154061966	1135	344
1Mb	10000	pachytene	0.718734000742574	0.874092808025954	0.845853839626171	0.767342804403136	0.931221744668081	1135	344
1Mb	10000	diplotene	0.601264193014438	0.824068837878794	0.726549561630162	0.631803898298816	0.919098398674455	1135	344
1Mb	20000	leptotene	0.418706373593304	0.80551012414517	0.63068271585716	0.399086472618971	0.912624412181944	1135	344
1Mb	20000	zygotene	0.614169591841909	0.87473103988101	0.8138655528826	0.581261536935842	0.924957790022749	1135	344
1Mb	20000	pachytene	0.576069833765146	0.868622202928572	0.782353302417761	0.628935726785259	0.920551769516406	1135	344
1Mb	20000	diplotene	0.245188854651606	0.661522857675853	0.374230044473754	0.330065666653486	0.860058716266289	1135	344
1Mb	50000	leptotene	0.372426765571635	0.72545908590118	0.501756786706205	0.315133267644301	0.856727889514431	1088	344
1Mb	50000	zygotene	0.425441664155417	0.799725663591378	0.6207044339613	0.321731875890302	0.885076444169188	1135	344
1Mb	50000	pachytene	0.427905883260191	0.779544201902294	0.574288620669184	0.361633017627117	0.85014221966137	1135	344
1Mb	50000	diplotene	0.415773979875096	0.726197885629004	0.4920880845383	0.352178273366602	0.834755416673112	999	319
1Mb	1e+05	leptotene	0.649720200599518	0.852702701316943	0.768421017376994	0.649035825020616	0.870547312778325	607	271
1Mb	1e+05	zygotene	0.453982684614246	0.791122942688703	0.600115001050675	0.393224140654541	0.868838933193062	1088	344
1Mb	1e+05	pachytene	0.568881058873561	0.815846846992811	0.704738235150391	0.528963300134208	0.908835051093801	870	295
1Mb	1e+05	diplotene	0.61603067274019	0.785961617068244	0.684279034988903	0.584473355192847	0.865471937573602	679	295
2Mb	5000	leptotene	0.672018090293327	0.907069415091168	0.878582389892575	0.620810524084992	0.929226049649817	1135	344
2Mb	5000	zygotene	0.636648380374733	0.902851653141147	0.876511726904254	0.57729691426093	0.929393414236893	1135	344
2Mb	5000	pachytene	0.642953128773604	0.902483099167468	0.87460045586095	0.603994660821583	0.931249066036192	1135	344
2Mb	5000	diplotene	0.651449830407871	0.892708572382911	0.857645034226061	0.60219573545559	0.926655645008381	1135	344
2Mb	10000	leptotene	0.58473428295234	0.888904108007284	0.828988044716125	0.538964460247915	0.925006872854668	1135	344
2Mb	10000	zygotene	0.576846308149351	0.896528235599308	0.86096711158648	0.497925896258631	0.928106519186403	1135	344
2Mb	10000	pachytene	0.610134974317781	0.892009752337367	0.848871473945148	0.567871614559171	0.927648011547072	1135	344
2Mb	10000	diplotene	0.491950480653111	0.846337605441684	0.72815446541473	0.511258290099099	0.920140921886924	1135	344
2Mb	20000	leptotene	0.271637899631092	0.842093025425321	0.672181497192484	0.183273788019361	0.912921236363499	1135	344
2Mb	20000	zygotene	0.419108260858101	0.890386534386489	0.800146896546899	0.329389331753461	0.92083556969613	1135	344
2Mb	20000	pachytene	0.411540928184286	0.875746477113469	0.767310562006769	0.377426979677231	0.920333997553523	1135	344
2Mb	20000	diplotene	0.158748025516055	0.718300999455884	0.443406361249081	0.125425141114996	0.885204563140397	1135	344
2Mb	50000	leptotene	0.275920016604516	0.726041207529062	0.484191081529053	0.149168147489772	0.88186612473973	1135	344
2Mb	50000	zygotene	0.202417826676547	0.842430894279604	0.649506999136172	0.00234581898821955	0.903576460153752	1135	344
2Mb	50000	pachytene	0.313192002512404	0.800267813668386	0.578284476690551	0.167934839253797	0.877537496972947	1135	344
2Mb	50000	diplotene	0.309434255715215	0.644948841993989	0.420033897330982	0.185130029821901	0.752220756173047	1135	344
2Mb	1e+05	leptotene	0.448844791554473	0.626030506512637	0.514658220216402	0.472998641115575	0.796902729672802	955	319
2Mb	1e+05	zygotene	0.320161870948138	0.807711978173919	0.600631136980868	0.177267784711619	0.88348837016175	1088	344
2Mb	1e+05	pachytene	0.426729064365451	0.711038165735752	0.574292854015718	0.340276437588494	0.791498484268027	955	319
2Mb	1e+05	diplotene	0.460849070781129	0.619915801363467	0.501730019510961	0.431771328161649	0.783181308069853	912	319
4Mb	5000	leptotene	0.620918987507304	0.92957610995574	0.891915481204615	0.570704197480087	0.944284553442479	1135	344
4Mb	5000	zygotene	0.558983732042785	0.933465933921389	0.894882678271875	0.489797468024713	0.947539334970791	1135	344
4Mb	5000	pachytene	0.569341819101456	0.927223163270907	0.888934004923073	0.505113178594148	0.946909143170218	1135	344
4Mb	5000	diplotene	0.580807390411242	0.914235749442977	0.877052599887838	0.498293225432134	0.940288424880835	1135	344
4Mb	10000	leptotene	0.533774694910822	0.913286143095676	0.856431571595338	0.451952114449931	0.940017096296819	1135	344
4Mb	10000	zygotene	0.49169158145277	0.925869494068014	0.879084232027817	0.367233906238114	0.94558310296182	1135	344
4Mb	10000	pachytene	0.51593479771887	0.913494936724338	0.8607953660515	0.415740651797791	0.942790111718153	1135	344
4Mb	10000	diplotene	0.436653300774905	0.892075679124346	0.786646080117189	0.373126084627794	0.934337349978626	1135	344
4Mb	20000	leptotene	0.238617641385268	0.895691893509159	0.759870159819875	0.14693099868794	0.929090279330985	1135	344
4Mb	20000	zygotene	0.358526094258744	0.913683279888469	0.816804930130582	0.261093439410444	0.937513146319543	1135	344
4Mb	20000	pachytene	0.301041541256383	0.895050431680512	0.777537338282546	0.183138648741499	0.934142375561648	1135	344
4Mb	20000	diplotene	0.107260084034737	0.840456972238635	0.608260849692663	-0.0560085863760583	0.906906038996554	1135	344
4Mb	50000	leptotene	0.218707926767722	0.840073201730278	0.634111696041629	0.00440544201505752	0.905691941019419	1135	344
4Mb	50000	zygotene	0.140541393036866	0.885819803510891	0.723126037149547	-0.0353066202243725	0.925004130927229	1135	344
4Mb	50000	pachytene	0.228536024916964	0.863305038941216	0.668838991183158	0.00289979052470231	0.903088178144943	1135	344
4Mb	50000	diplotene	0.285601117317531	0.747556112958585	0.499405620163284	0.10557647955461	0.815511240910088	1135	344
4Mb	1e+05	leptotene	0.451049151771484	0.716339612770788	0.576155137310848	0.435241616286997	0.861529676746256	1043	319
4Mb	1e+05	zygotene	0.226064357786816	0.859092062957477	0.690582917723863	0.086079088438	0.911388802539554	1088	344
4Mb	1e+05	pachytene	0.378622729578401	0.735593759146641	0.570103089696587	0.279807350762359	0.828856497281566	1043	319
4Mb	1e+05	diplotene	0.419507663296829	0.615403450062228	0.459580585108255	0.391459939720093	0.808105345463323	1043	319
