artifact	role	source_path	copied_path	dimensions	sha256
broom_1.png	single chromosome-end subtelomere bundle cartoon	/moosefs/erikg/phrs/broom_1.png	slides/v2-review-zoom/_revision_assets/v9/broom_jaccard_method/broom_1.png	1793x1852 RGBA	b89b1ba28e5c2ed7e6a559506f1b2e6bb7b13b8226069a0d8bf1d70b5c5c4010
brooms_compare.png	two chromosome-end bundles comparison cartoon	/moosefs/erikg/phrs/brooms_compare.png	slides/v2-review-zoom/_revision_assets/v9/broom_jaccard_method/brooms_compare.png	1736x1672 RGBA	08a5f60f734d6d0d78a533e6bacd23c928cbf5465c532571a6b472246fe8a11c
