pattern_key	n_exact_terms	min_holm_p_global	max_term_phr_burden_a_T	nonzero_arm_counts	representative_terms	pattern_id
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0	1	1.16064977830975e-08	21	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:3; 10p:1; 11p:2; 16q:2; 19p:2; 20q:1	GO_CC:direct:microtubule cytoskeleton (GO:0015630)	P052
2,0,0,1,0,3,0,33,0,2,0,0,2,0,0,0,1,1,0,32,4,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,2,3,0,0,0,0,2,2,0,0	1	3.01559677976045e-08	98	1p:2; 2q:1; 3q:3; 4q:33; 5q:2; 7p:2; 9p:1; 9q:1; 10q:32; 11p:4; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:2; 20q:3; Xp:2; Xq:2	GO_BP:ancestor:regulation of biosynthetic process (GO:0009889)	P011
1,1,0,2,0,1,0,35,0,2,0,0,1,0,0,0,0,1,0,34,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,1,0,1,0,0,2,0,0,0	1	1.03826627027967e-07	89	1p:1; 1q:1; 2q:2; 3q:1; 4q:35; 5q:2; 7p:1; 9q:1; 10q:34; 11p:1; 16q:2; 17q:1; 19p:1; 19q:1; 20p:1; 20q:1; 21q:1; Xp:2	GO_MF:ancestor:nucleic acid binding (GO:0003676)	P054
3,1,0,3,0,3,0,36,0,4,0,0,3,0,0,0,0,5,1,35,3,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,3,1,1,2,0,1,0,0,4,5,0,0	1	1.32250071470129e-07	120	1p:3; 1q:1; 2q:3; 3q:3; 4q:36; 5q:4; 7p:3; 9q:5; 10p:1; 10q:35; 11p:3; 16q:4; 17q:1; 18p:1; 19p:3; 19q:1; 20p:1; 20q:2; 21q:1; Xp:4; Xq:5	GO_CC:direct:cytoplasm (GO:0005737)	P051
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0	1	1.43853468066444e-07	14	3q:1; 4q:1; 9p:1; 10q:1; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:2; Xq:2	GO_BP:ancestor:regulation of binding (GO:0051098)	P029
1,1,0,2,0,2,0,34,0,2,0,0,1,0,0,0,1,1,0,33,3,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,2,1,3,3,0,1,0,0,1,3,0,0	1	3.81613985238812e-07	101	1p:1; 1q:1; 2q:2; 3q:2; 4q:34; 5q:2; 7p:1; 9p:1; 9q:1; 10q:33; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 17q:1; 19p:2; 19q:1; 20p:3; 20q:3; 21q:1; Xp:1; Xq:3	GO_BP:ancestor:negative regulation of cellular process (GO:0048523)	P027
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0	1	8.82828066094595e-07	11	3q:1; 9p:1; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:2; Xq:1	GO_BP:ancestor:positive regulation of binding (GO:0051099)	P030
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0	1	1.63684380391873e-06	11	3q:1; 9p:1; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; Xq:2	GO_BP:direct:exocytosis (GO:0006887)	P037
2,0,0,2,0,3,0,0,0,2,0,0,2,0,0,0,1,3,1,0,3,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,3,0,1,2,2,0,0,0,0,1,0,0	1	2.39779775266324e-06	34	1p:2; 2q:2; 3q:3; 5q:2; 7p:2; 9p:1; 9q:3; 10p:1; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 18p:1; 19p:3; 20p:1; 20q:2; 21p:2; Xq:1	GO_BP:ancestor:cell cycle (GO:0007049)	P004
7,1,0,4,0,8,0,37,0,8,0,2,4,0,0,0,2,5,1,36,8,0,2,0,0,0,0,0,0,4,2,5,0,1,0,0,8,1,3,5,2,1,0,0,4,8,0,0	1	2.71429345814269e-06	169	1p:7; 1q:1; 2q:4; 3q:8; 4q:37; 5q:8; 6q:2; 7p:4; 9p:2; 9q:5; 10p:1; 10q:36; 11p:8; 12p:2; 15q:4; 16p:2; 16q:5; 17q:1; 19p:8; 19q:1; 20p:3; 20q:5; 21p:2; 21q:1; Xp:4; Xq:8	GO_MF:direct:protein binding (GO:0005515)	P063
2,0,0,2,0,3,0,0,0,2,0,0,2,0,0,0,1,2,1,0,3,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,2,2,0,0,0,0,1,0,0	1	4.2217674398436e-06	32	1p:2; 2q:2; 3q:3; 5q:2; 7p:2; 9p:1; 9q:2; 10p:1; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:1; 20q:2; 21p:2; Xq:1	GO_BP:ancestor:cell cycle process (GO:0022402)	P020
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0	1	6.32706243153876e-06	22	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:3; 10p:1; 11p:2; 16q:2; 18p:1; 19p:2; 20q:1	GO_MF:direct:GTPase activity (GO:0003924)	P062
2,1,0,2,0,3,0,35,0,3,0,0,2,0,0,0,1,3,0,34,3,0,1,0,0,0,0,0,0,1,1,3,0,1,0,0,3,1,2,2,0,1,0,0,3,3,0,0	1	3.36312382922308e-05	111	1p:2; 1q:1; 2q:2; 3q:3; 4q:35; 5q:3; 7p:2; 9p:1; 9q:3; 10q:34; 11p:3; 12p:1; 15q:1; 16p:1; 16q:3; 17q:1; 19p:3; 19q:1; 20p:2; 20q:2; 21q:1; Xp:3; Xq:3	GO_CC:direct:nucleus (GO:0005634)	P048
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,0	1	0.00134537486726665	12	3q:1; 9p:1; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; Xp:1; Xq:2	GO_BP:ancestor:vesicle-mediated transport to the plasma membrane (GO:0098876)	P034
2,1,0,3,0,2,0,1,0,3,0,0,2,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0	1	0.0175586698243935	30	1p:2; 1q:1; 2q:3; 3q:2; 4q:1; 5q:3; 7p:2; 9q:3; 10q:1; 11p:2; 16q:3; 17q:1; 19p:2; 19q:1; 20p:1; 20q:1; 21q:1	GO_BP:ancestor:male gamete generation (GO:0048232)	P024
2,1,0,3,0,2,0,1,0,3,0,0,2,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0	1	0.020553462968747	31	1p:2; 1q:1; 2q:3; 3q:2; 4q:1; 5q:3; 7p:2; 9q:3; 10p:1; 10q:1; 11p:2; 16q:3; 17q:1; 19p:2; 19q:1; 20p:1; 20q:1; 21q:1	GO_BP:ancestor:gamete generation (GO:0007276)	P006
2,1,0,3,0,2,0,1,0,3,0,0,2,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,1,1,0,1,0,0,0,2,0,0	1	0.0417155207387283	33	1p:2; 1q:1; 2q:3; 3q:2; 4q:1; 5q:3; 7p:2; 9q:3; 10p:1; 10q:1; 11p:2; 16q:3; 17q:1; 19p:2; 19q:1; 20p:1; 20q:1; 21q:1; Xq:2	GO_BP:ancestor:sexual reproduction (GO:0019953)	P019
