pattern_key	n_exact_terms	min_holm_p_global	max_term_phr_burden_a_T	nonzero_arm_counts	representative_terms	pattern_id
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0	3	7.88043131418004e-07	23	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:3; 10p:1; 11p:2; 16q:2; 18p:1; 19p:2; 20q:1; Xp:1	GO_MF:ancestor:guanyl nucleotide binding (GO:0019001) | GO_MF:ancestor:guanyl ribonucleotide binding (GO:0032561) | GO_MF:direct:GTP binding (GO:0005525)	P057
2,0,0,2,0,3,0,0,0,2,0,0,2,0,0,0,1,3,1,0,3,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,3,0,1,2,0,0,0,0,0,1,0,0	3	1.10184996139963e-06	32	1p:2; 2q:2; 3q:3; 5q:2; 7p:2; 9p:1; 9q:3; 10p:1; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 18p:1; 19p:3; 20p:1; 20q:2; Xq:1	GO_MF:ancestor:pyrophosphatase activity (GO:0016462) | GO_MF:ancestor:hydrolase activity, acting on acid anhydrides (GO:0016817) | GO_MF:ancestor:ribonucleoside triphosphate phosphatase activity (GO:0017111)	P056
1,0,0,1,0,1,0,33,0,1,0,0,1,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0	2	2.63802126312237e-74	74	1p:1; 2q:1; 3q:1; 4q:33; 5q:1; 7p:1; 10q:32; 11p:1; 16q:1; 19p:1; 20q:1	GO_MF:ancestor:transcription regulatory region nucleic acid binding (GO:0001067) | GO_MF:direct:RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	P053
0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2	1.46627191025087e-69	66	4q:33; 9q:1; 10q:32	GO_CC:ancestor:nuclear envelope (GO:0005635) | GO_CC:ancestor:organelle envelope (GO:0031967)	P040
1,0,0,1,0,1,0,33,0,1,0,0,1,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0	2	1.08988573536165e-56	75	1p:1; 2q:1; 3q:1; 4q:33; 5q:1; 7p:1; 10q:32; 11p:1; 16q:1; 19p:1; 20q:1; Xp:1	GO_MF:ancestor:double-stranded DNA binding (GO:0003690) | GO_MF:ancestor:DNA-binding transcription factor activity (GO:0003700)	P055
0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,1,0,0,32,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0	2	4.34319730517032e-53	75	3q:1; 4q:33; 9p:1; 10q:32; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; Xq:1	GO_BP:ancestor:regulation of cell cycle process (GO:0010564) | GO_BP:ancestor:regulation of cell cycle (GO:0051726)	P015
2,0,0,1,0,2,0,33,0,2,0,0,2,0,0,0,0,1,0,32,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0	2	1.90249646293787e-50	83	1p:2; 2q:1; 3q:2; 4q:33; 5q:2; 7p:2; 9q:1; 10q:32; 11p:2; 16q:2; 19p:2; 20q:1; Xp:1	GO_MF:ancestor:transcription regulator activity (GO:0140110) | GO_MF:direct:DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	P060
1,0,0,0,0,2,0,33,0,1,0,0,1,0,0,0,1,1,0,32,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,2,0,0,0,0,1,2,0,0	2	1.25598987109992e-24	86	1p:1; 3q:2; 4q:33; 5q:1; 7p:1; 9p:1; 9q:1; 10q:32; 11p:2; 12p:1; 15q:1; 16p:1; 16q:1; 19p:2; 20p:1; 20q:2; Xp:1; Xq:2	GO_BP:ancestor:positive regulation of biosynthetic process (GO:0009891) | GO_BP:ancestor:positive regulation of macromolecule biosynthetic process (GO:0010557)	P012
2,0,0,1,0,3,0,33,0,2,0,0,2,0,0,0,1,1,0,32,3,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,3,0,0,0,0,1,2,0,0	2	3.31754241662431e-19	95	1p:2; 2q:1; 3q:3; 4q:33; 5q:2; 7p:2; 9p:1; 9q:1; 10q:32; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:1; 20q:3; Xp:1; Xq:2	GO_BP:ancestor:regulation of nucleobase-containing compound metabolic process (GO:0019219) | GO_BP:ancestor:regulation of RNA metabolic process (GO:0051252)	P017
3,1,0,4,0,5,0,34,0,4,0,0,3,0,0,0,2,4,1,33,5,0,2,0,0,0,0,0,0,2,2,4,0,1,1,0,5,1,3,4,0,1,0,0,3,2,0,0	2	1.61580587942654e-16	130	1p:3; 1q:1; 2q:4; 3q:5; 4q:34; 5q:4; 7p:3; 9p:2; 9q:4; 10p:1; 10q:33; 11p:5; 12p:2; 15q:2; 16p:2; 16q:4; 17q:1; 18p:1; 19p:5; 19q:1; 20p:3; 20q:4; 21q:1; Xp:3; Xq:2	GO_CC:ancestor:membraneless organelle (GO:0043228) | GO_CC:ancestor:intracellular membraneless organelle (GO:0043232)	P047
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0	2	2.91908790820224e-13	21	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:2; 11p:2; 16q:2; 19p:2; 20q:1; 21p:2	GO_BP:ancestor:cytokinesis (GO:0000910) | GO_BP:ancestor:cell division (GO:0051301)	P001
1,0,0,0,0,3,0,35,0,1,0,0,1,0,0,0,2,1,0,34,3,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,3,0,2,3,2,0,0,0,2,6,0,0	2	9.23795842386272e-12	106	1p:1; 3q:3; 4q:35; 5q:1; 7p:1; 9p:2; 9q:1; 10q:34; 11p:3; 12p:2; 15q:2; 16p:2; 16q:1; 19p:3; 20p:2; 20q:3; 21p:2; Xp:2; Xq:6	GO_BP:ancestor:positive regulation of biological process (GO:0048518) | GO_BP:ancestor:positive regulation of cellular process (GO:0048522)	P025
