comparison_id	chop_length_bp	filter_id	chunk_mode	output_family	raw_paf	chopped_paf	chopped_sha256	filtered_paf	filtered_sha256	chop_summary	num_mappings	scaffold_jump	scoring	filter_overlap	gzip_validation	status
PAN027pat_vs_PAN011_joint	10000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0_query_grid.paf.gz	fb3c671d6e7156fb2abb2c73ea6128919e09a05b3e74095b4d116a5c73d5e373	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	72db88460478a4046323053a57783d2dcf552ca3a86c7ea4b093c53c18812829	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
PAN027pat_vs_PAN011_joint	5000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0_query_grid.paf.gz	4f09aef7d64aae7097c06cf51e6de4cdacfa9104e0a75fab8f1b485565539650	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	e325f14ed1db70553e07e2aba8b378d88fded5b261001a8d588cac362aeccc82	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
PAN027pat_vs_PAN011_joint	2000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0_query_grid.paf.gz	e39ed5fb66a7b2f44807afa2c69b62ed685c94124ff56587de6672a1b070c309	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	1f05baed0b95f7ba354cd342c86ffd7f5a072fef86526f21d2aff710c58609fa	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
PAN027mat_vs_PAN010_joint	10000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0_query_grid.paf.gz	8c5bb1f2365e1daf7dd74167e5369f6389084a91a295a2ecb2131d7767e91bd3	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	e72d2d899c02ba9ebc7ee02670fb875843231ff7469d085f9cbd528bd3dda127	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN027mat_vs_PAN010_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
PAN027mat_vs_PAN010_joint	5000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN027mat_vs_PAN010_joint.chopped_l5000_o0_query_grid.paf.gz	94529a66b87061d5f365e816af408b457528beb9a2c71a569b829a010bf98180	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	52bc923feacb1d6703ba38062c1b5bd9aa5be907ff781bc90828da33273d338e	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l5000_o0/PAN027mat_vs_PAN010_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
PAN027mat_vs_PAN010_joint	2000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.chopped_l2000_o0_query_grid.paf.gz	ff89009050e6d82700dabd2036991ad1e12418a06b5ccdb651ce51ec5297e0ee	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	c8bf81f3b7c7422815527969f70aa9148b0a320f9445b099af89ccb9e5d0bf93	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
PAN028mat_vs_PAN027_joint	10000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0_query_grid.paf.gz	28fa24a940712ddd7124d4dc06e3d2e0754de2d2c1d3af45a663be0b4e293f90	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	0e79f267bf3a77d2b3f9e23ea3e4155139e27b8803db106c7dc0bafa5b6d072a	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
PAN028mat_vs_PAN027_joint	5000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN028mat_vs_PAN027_joint.chopped_l5000_o0_query_grid.paf.gz	b9b56376997d00c65ffe38cb8756a05be281872c1759e2c2dfab58102ac7c7ad	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	dfa2eebba1342953530a09d1b3639ad54c843b129670ef765b393e6fa4c5c13d	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l5000_o0/PAN028mat_vs_PAN027_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
PAN028mat_vs_PAN027_joint	2000	one_to_one_ani_o0	query-grid	query_grid_chop_sensitivity	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN028mat_vs_PAN027_joint.chopped_l2000_o0_query_grid.paf.gz	66f5b3136fe7a0ab4e16e1e8240f9e965374b139f86b4a6195ce71bd77f6c1eb	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	07044707eb36eb9d6fd680b10f872bc6690cde68b079f2feaa6bfde18c11e4f2	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l2000_o0/PAN028mat_vs_PAN027_joint.summary.tsv	1:1	0	ani	0	pigz -t	OK
