comparison_id	chop_length_bp	filter_id	job_id	array_task_id	host	started_utc	finished_utc	status	sacct_state	elapsed	exit_code	node	raw_paf	chopped_paf	filtered_paf	chop_summary	chunk_mode	overlap_bp	num_mappings	scaffold_jump	scoring	filter_overlap	threads	pigz_compression_level	scratch_dir	pafchop_bin	pafchop_sha256	sweepga_bin	sweepga_sha256	pigz_bin	pigz_sha256	chop_command	filter_command
PAN027pat_vs_PAN011_joint	10000	one_to_one_ani_o0	1706228	1	octopus07	2026-06-23T16:28:37Z	2026-06-23T17:02:54Z	OK_VALIDATED_OUTPUTS					/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.summary.tsv	query-grid	0	1:1	0	ani	0	8		/dev/shm/sweepga_qgrid.1706228.1.MyLtRa	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop	7595f929038d024e2d9e880607047b407f69e93380d8f8ceca5e443e19722ac7	/home/erikg/.cargo/bin/sweepga	a0d7ac0c3312080d67de96d85cdcad9ce0c5a7e523897109b7f598c186ab85a6	/usr/bin/pigz	b5024b8518004179f7486cb9a05aa5c97bb165565e9dcac2092d709c05ee0dca	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz | /moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop --length 10000 --overlap 0 --chunk-mode query-grid --comparison-id PAN027pat_vs_PAN011_joint --summary /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.summary.tsv.tmp.1706228.1 | /usr/bin/pigz -p 8 > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0_query_grid.paf.gz.tmp.1706228.1	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0_query_grid.paf.gz > /dev/shm/sweepga_qgrid.1706228.1.MyLtRa/input.paf && /home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scoring ani --overlap 0 --output-file /dev/shm/sweepga_qgrid.1706228.1.MyLtRa/filtered.paf /dev/shm/sweepga_qgrid.1706228.1.MyLtRa/input.paf && /usr/bin/pigz -p 8 -c /dev/shm/sweepga_qgrid.1706228.1.MyLtRa/filtered.paf > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz.tmp.1706228.1
PAN027pat_vs_PAN011_joint	5000	one_to_one_ani_o0	1706229	2	octopus07	2026-06-23T16:28:37Z	2026-06-23T17:29:57Z	OK_VALIDATED_OUTPUTS					/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.summary.tsv	query-grid	0	1:1	0	ani	0	8		/dev/shm/sweepga_qgrid.1706229.2.dpswas	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop	7595f929038d024e2d9e880607047b407f69e93380d8f8ceca5e443e19722ac7	/home/erikg/.cargo/bin/sweepga	a0d7ac0c3312080d67de96d85cdcad9ce0c5a7e523897109b7f598c186ab85a6	/usr/bin/pigz	b5024b8518004179f7486cb9a05aa5c97bb165565e9dcac2092d709c05ee0dca	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz | /moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop --length 5000 --overlap 0 --chunk-mode query-grid --comparison-id PAN027pat_vs_PAN011_joint --summary /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.summary.tsv.tmp.1706229.2 | /usr/bin/pigz -p 8 > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0_query_grid.paf.gz.tmp.1706229.2	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0_query_grid.paf.gz > /dev/shm/sweepga_qgrid.1706229.2.dpswas/input.paf && /home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scoring ani --overlap 0 --output-file /dev/shm/sweepga_qgrid.1706229.2.dpswas/filtered.paf /dev/shm/sweepga_qgrid.1706229.2.dpswas/input.paf && /usr/bin/pigz -p 8 -c /dev/shm/sweepga_qgrid.1706229.2.dpswas/filtered.paf > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz.tmp.1706229.2
PAN027pat_vs_PAN011_joint	2000	one_to_one_ani_o0	1706230	3	octopus07	2026-06-23T16:28:37Z	2026-06-23T18:57:13Z	OK_VALIDATED_OUTPUTS					/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.summary.tsv	query-grid	0	1:1	0	ani	0	8		/dev/shm/sweepga_qgrid.1706230.3.QhEXJU	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop	7595f929038d024e2d9e880607047b407f69e93380d8f8ceca5e443e19722ac7	/home/erikg/.cargo/bin/sweepga	a0d7ac0c3312080d67de96d85cdcad9ce0c5a7e523897109b7f598c186ab85a6	/usr/bin/pigz	b5024b8518004179f7486cb9a05aa5c97bb165565e9dcac2092d709c05ee0dca	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz | /moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop --length 2000 --overlap 0 --chunk-mode query-grid --comparison-id PAN027pat_vs_PAN011_joint --summary /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.summary.tsv.tmp.1706230.3 | /usr/bin/pigz -p 8 > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0_query_grid.paf.gz.tmp.1706230.3	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0_query_grid.paf.gz > /dev/shm/sweepga_qgrid.1706230.3.QhEXJU/input.paf && /home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scoring ani --overlap 0 --output-file /dev/shm/sweepga_qgrid.1706230.3.QhEXJU/filtered.paf /dev/shm/sweepga_qgrid.1706230.3.QhEXJU/input.paf && /usr/bin/pigz -p 8 -c /dev/shm/sweepga_qgrid.1706230.3.QhEXJU/filtered.paf > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz.tmp.1706230.3
PAN027mat_vs_PAN010_joint	10000	one_to_one_ani_o0	1706232	5	octopus09	2026-06-23T16:28:42Z	2026-06-23T17:14:33Z	OK_VALIDATED_OUTPUTS					/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN027mat_vs_PAN010_joint.summary.tsv	query-grid	0	1:1	0	ani	0	8		/dev/shm/sweepga_qgrid.1706232.5.FlcmcB	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop	7595f929038d024e2d9e880607047b407f69e93380d8f8ceca5e443e19722ac7	/home/erikg/.cargo/bin/sweepga	a0d7ac0c3312080d67de96d85cdcad9ce0c5a7e523897109b7f598c186ab85a6	/usr/bin/pigz	b5024b8518004179f7486cb9a05aa5c97bb165565e9dcac2092d709c05ee0dca	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz | /moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop --length 10000 --overlap 0 --chunk-mode query-grid --comparison-id PAN027mat_vs_PAN010_joint --summary /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN027mat_vs_PAN010_joint.summary.tsv.tmp.1706232.5 | /usr/bin/pigz -p 8 > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0_query_grid.paf.gz.tmp.1706232.5	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0_query_grid.paf.gz > /dev/shm/sweepga_qgrid.1706232.5.FlcmcB/input.paf && /home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scoring ani --overlap 0 --output-file /dev/shm/sweepga_qgrid.1706232.5.FlcmcB/filtered.paf /dev/shm/sweepga_qgrid.1706232.5.FlcmcB/input.paf && /usr/bin/pigz -p 8 -c /dev/shm/sweepga_qgrid.1706232.5.FlcmcB/filtered.paf > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz.tmp.1706232.5
PAN027mat_vs_PAN010_joint	5000	one_to_one_ani_o0	1706233	6	octopus09	2026-06-23T16:28:42Z	2026-06-23T17:52:07Z	OK_VALIDATED_OUTPUTS					/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN027mat_vs_PAN010_joint.chopped_l5000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l5000_o0/PAN027mat_vs_PAN010_joint.summary.tsv	query-grid	0	1:1	0	ani	0	8		/dev/shm/sweepga_qgrid.1706233.6.DOS3wv	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop	7595f929038d024e2d9e880607047b407f69e93380d8f8ceca5e443e19722ac7	/home/erikg/.cargo/bin/sweepga	a0d7ac0c3312080d67de96d85cdcad9ce0c5a7e523897109b7f598c186ab85a6	/usr/bin/pigz	b5024b8518004179f7486cb9a05aa5c97bb165565e9dcac2092d709c05ee0dca	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz | /moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop --length 5000 --overlap 0 --chunk-mode query-grid --comparison-id PAN027mat_vs_PAN010_joint --summary /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l5000_o0/PAN027mat_vs_PAN010_joint.summary.tsv.tmp.1706233.6 | /usr/bin/pigz -p 8 > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN027mat_vs_PAN010_joint.chopped_l5000_o0_query_grid.paf.gz.tmp.1706233.6	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l5000_o0/PAN027mat_vs_PAN010_joint.chopped_l5000_o0_query_grid.paf.gz > /dev/shm/sweepga_qgrid.1706233.6.DOS3wv/input.paf && /home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scoring ani --overlap 0 --output-file /dev/shm/sweepga_qgrid.1706233.6.DOS3wv/filtered.paf /dev/shm/sweepga_qgrid.1706233.6.DOS3wv/input.paf && /usr/bin/pigz -p 8 -c /dev/shm/sweepga_qgrid.1706233.6.DOS3wv/filtered.paf > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz.tmp.1706233.6
PAN027mat_vs_PAN010_joint	2000	one_to_one_ani_o0	1706254	7	octopus07	2026-06-23T17:02:56Z	2026-06-23T20:21:08Z	OK_VALIDATED_OUTPUTS					/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.chopped_l2000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.summary.tsv	query-grid	0	1:1	0	ani	0	8		/dev/shm/sweepga_qgrid.1706254.7.IMSolt	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop	7595f929038d024e2d9e880607047b407f69e93380d8f8ceca5e443e19722ac7	/home/erikg/.cargo/bin/sweepga	a0d7ac0c3312080d67de96d85cdcad9ce0c5a7e523897109b7f598c186ab85a6	/usr/bin/pigz	b5024b8518004179f7486cb9a05aa5c97bb165565e9dcac2092d709c05ee0dca	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_frequency16_many_many_j0.paf.gz | /moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop --length 2000 --overlap 0 --chunk-mode query-grid --comparison-id PAN027mat_vs_PAN010_joint --summary /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.summary.tsv.tmp.1706254.7 | /usr/bin/pigz -p 8 > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.chopped_l2000_o0_query_grid.paf.gz.tmp.1706254.7	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.chopped_l2000_o0_query_grid.paf.gz > /dev/shm/sweepga_qgrid.1706254.7.IMSolt/input.paf && /home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scoring ani --overlap 0 --output-file /dev/shm/sweepga_qgrid.1706254.7.IMSolt/filtered.paf /dev/shm/sweepga_qgrid.1706254.7.IMSolt/input.paf && /usr/bin/pigz -p 8 -c /dev/shm/sweepga_qgrid.1706254.7.IMSolt/filtered.paf > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz.tmp.1706254.7
PAN028mat_vs_PAN027_joint	10000	one_to_one_ani_o0	1706265	9	octopus07	2026-06-23T17:29:59Z	2026-06-23T19:14:29Z	OK_VALIDATED_OUTPUTS					/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.summary.tsv	query-grid	0	1:1	0	ani	0	8		/dev/shm/sweepga_qgrid.1706265.9.WZIDb3	/moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop	7595f929038d024e2d9e880607047b407f69e93380d8f8ceca5e443e19722ac7	/home/erikg/.cargo/bin/sweepga	a0d7ac0c3312080d67de96d85cdcad9ce0c5a7e523897109b7f598c186ab85a6	/usr/bin/pigz	b5024b8518004179f7486cb9a05aa5c97bb165565e9dcac2092d709c05ee0dca	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz | /moosefs/erikg/phrs/.wg-worktrees/agent-2700/target/release/pafchop --length 10000 --overlap 0 --chunk-mode query-grid --comparison-id PAN028mat_vs_PAN027_joint --summary /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/summaries/pafchop_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.summary.tsv.tmp.1706265.9 | /usr/bin/pigz -p 8 > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0_query_grid.paf.gz.tmp.1706265.9	/usr/bin/pigz -dc /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0_query_grid.paf.gz > /dev/shm/sweepga_qgrid.1706265.9.WZIDb3/input.paf && /home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scoring ani --overlap 0 --output-file /dev/shm/sweepga_qgrid.1706265.9.WZIDb3/filtered.paf /dev/shm/sweepga_qgrid.1706265.9.WZIDb3/input.paf && /usr/bin/pigz -p 8 -c /dev/shm/sweepga_qgrid.1706265.9.WZIDb3/filtered.paf > /moosefs/erikg/phrs/.wg-worktrees/agent-2700/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity_query_grid/l10000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz.tmp.1706265.9
