run_label	comparison_id	parameter_set	job_id	status	stdout	stderr	output_paf	output_size_bytes	sha256	minimap2_options	scratch_base	minimap2_bin	requested_time	requested_mem	requested_cpus	min_runtime_before_unflushed_cancel	runtime_policy
v2.31-r1302	PAN027pat_vs_PAN011_joint	asm5_allchains	1704357	TIMEOUT:0:0:1-00:00:12	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/logs/PAN027pat_vs_PAN011_joint.asm5_allchains.1704357.out	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/logs/PAN027pat_vs_PAN011_joint.asm5_allchains.1704357.err	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/raw_paf/v2.31-r1302/PAN027pat_vs_PAN011_joint.asm5_allchains.minimap2-v2.31-r1302.paf.gz			-x asm5 -c --eqx -P --q-occ-frac=0	/dev/shm	/home/erikg/bin/minimap2	24:00:00	192G	32	08:00:00	do_not_cancel_for_header_only_or_unflushed_output_before_min_runtime
v2.31-r1302	PAN027mat_vs_PAN010_joint	asm5_allchains	1704358	TIMEOUT:0:0:1-00:00:12	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/logs/PAN027mat_vs_PAN010_joint.asm5_allchains.1704358.out	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/logs/PAN027mat_vs_PAN010_joint.asm5_allchains.1704358.err	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/raw_paf/v2.31-r1302/PAN027mat_vs_PAN010_joint.asm5_allchains.minimap2-v2.31-r1302.paf.gz			-x asm5 -c --eqx -P --q-occ-frac=0	/dev/shm	/home/erikg/bin/minimap2	24:00:00	192G	32	08:00:00	do_not_cancel_for_header_only_or_unflushed_output_before_min_runtime
v2.31-r1302	PAN028mat_vs_PAN027_joint	asm5_allchains	1704359	TIMEOUT:0:0:1-00:00:07	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/logs/PAN028mat_vs_PAN027_joint.asm5_allchains.1704359.out	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/logs/PAN028mat_vs_PAN027_joint.asm5_allchains.1704359.err	/moosefs/erikg/phrs/.wg-worktrees/agent-2652/paper_prep/_brainstorming/pedigree_whole_genome_minimap2_asm5_allchains_longrun_chop_sweep/raw_paf/v2.31-r1302/PAN028mat_vs_PAN027_joint.asm5_allchains.minimap2-v2.31-r1302.paf.gz			-x asm5 -c --eqx -P --q-occ-frac=0	/dev/shm	/home/erikg/bin/minimap2	24:00:00	192G	32	08:00:00	do_not_cancel_for_header_only_or_unflushed_output_before_min_runtime
