comparison_id	cell_id	source_kind	scaffold_jump	min_aln_length	scoring	num_mappings	scaffold_mass	overlap	source_paf	source_paf_sha256	filtered_paf	filtered_paf_sha256	paf_path	command
PAN027pat_vs_PAN011_joint	j0.l5000.ani.1to1.m10k	filtered	0	5000	ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.ani.1to1.m10k.paf.gz	dd379a713061254491aac9ff73907a79006e1f0e5e4727b5a32a63b6e70e3935	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l5000.ani.4tomany.m10k	filtered	0	5000	ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.ani.4tomany.m10k.paf.gz	981dec65406a91071125c7d1299989dd386108d25da12e8c911aacdfc99a93f8	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.1to1.m10k	filtered	0	5000	log-length-ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.log_length_ani.1to1.m10k.paf.gz	d3e75bbf3265def4bd476a749d2cd2ed18414cf57c253260d744401772a6d044	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.log_length_ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.4tomany.m10k	filtered	0	5000	log-length-ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.log_length_ani.4tomany.m10k.paf.gz	e964b5d5a92104dbccd30026517513d0160e4288788d715636dae1eebee0ffe3	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.log_length_ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l10000.ani.1to1.m10k	filtered	0	10000	ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l10000.ani.1to1.m10k.paf.gz	faa4148300309c15ca688f0bc1c5595558911afecbb24d7b74d466cae2fe7923	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l10000.ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l10000.ani.4tomany.m10k	filtered	0	10000	ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l10000.ani.4tomany.m10k.paf.gz	d9a9daa2b636680aec3e90e117106087a835fb5ce1085f3357205d79f3b2b82b	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l10000.ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.1to1.m10k	filtered	0	10000	log-length-ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l10000.log_length_ani.1to1.m10k.paf.gz	3c50c8c7119161a276dff1bbbccc06e32256083c3258b485a7332b11646690c1	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l10000.log_length_ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.4tomany.m10k	filtered	0	10000	log-length-ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l10000.log_length_ani.4tomany.m10k.paf.gz	57c51d9d80273b528286e88e72fa7e22ededacdebd519141e7c9f702810e19e8	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l10000.log_length_ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j10k.ldefault.ani.1to1.m10k	filtered	10k	default	ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j10k.ldefault.ani.1to1.m10k.paf.gz	dd5ba764c3fa446eb46e97ee8c40a22ecc3a15f063428ccf8684b46ee6d011ed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j10k.ldefault.ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 10k --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j10k.ldefault.ani.4tomany.m10k	filtered	10k	default	ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j10k.ldefault.ani.4tomany.m10k.paf.gz	15f5c91810c2df7f4495086c4533e19a9f4801ed43b2d85769782deaf9ec412f	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j10k.ldefault.ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 10k --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
