sample	mantel_rho.5000	mantel_rho.10000	mantel_rho.20000	mantel_rho.50000	mantel_rho.1e+05
chm13	0.770756552699575	0.716552082539621	0.720888298911331	0.656263637928729	0.663786423060247
hg002	0.733621950536827	0.705223308244988	0.648400461336807	0.657289242847327	0.492473853153213
hg002_porec	0.489113733560261	0.478654993261857	0.47641026033802	0.486075245411799	0.503007459725891
hg002_cifi	0.314240897895847	0.311609771213899	0.321257389409482	0.307624568608799	0.337922805585722
hg00658	0.321106746669006	0.309232099438261	0.286723266387066	0.275616191956643	0.296425502449228
hg02148	0.169991522945845	0.169160804762147	0.156794750917142	0.152474712095792	0.125500108053426
hg02559	0.437557255756287	0.436653629650148	0.391799381445806	0.39714561639168	0.354878157600629
na19036	0.29577008690026	0.300975558163428	0.282747502718292	0.266119019638857	0.275666530053836
