sample	bw_ratio.5000	bw_ratio.10000	bw_ratio.20000	bw_ratio.50000	bw_ratio.1e+05
chm13	0.0746216691915429	0.0724958546787467	0.0744392196241646	0.0705690768558513	0.0724440447855493
hg002	0.0292823538811652	0.028428553813864	0.0279785303440362	0.0266720034929159	0.0206837965021209
hg002_porec	0.0584129036841937	0.0550599556372696	0.0544605290710124	0.0555306024395087	0.0489703969317417
hg002_cifi	0.0476189803740753	0.0449394912539834	0.0411379589371205	0.0359878896340976	0.0416008957693372
hg00658	0.0556657682344502	0.0549956560038242	0.0526310684170493	0.0556605860251127	0.0318843363394877
hg02148	0.0523994873260016	0.0530731613088522	0.0540049066744178	0.0497211596115794	0.0376459327900305
hg02559	0.0777677474299722	0.080876805814274	0.0862243164740984	0.0736773967008712	0.0539121744862015
na19036	0.0634274895211125	0.0652707730347112	0.0597027091325932	0.0494578284296235	0.0401741811167084
