region	n	mean	sd	min	q05	q25	median	q75	q95	max	fold_vs_C6_within
C6_within_sextet	15	0.500253066247311	0.228150964749592	0.163348123047521	0.229659031344113	0.286587633347978	0.433832114622447	0.693003845122049	0.814229345024174	0.816915492571146	1
C6_to_non_C6	210	0.031846270325145	0.0378090220229763	0	3.04055820231519e-05	0.00508911485440922	0.0164689798017785	0.0490995970181878	0.112913043055129	0.218800190576497	15.7083721622599
non_C6_pairs_only	595	0.0705654344994694	0.129991641269862	0	8.18444246042384e-08	0.00122277693443901	0.00734509839643605	0.079745187771974	0.367886977494196	0.984675654425442	7.08920833260189
off_diagonal_excluding_C6_within	805	0.0604647829757326	0.114652715265374	0	3.59614831779709e-07	0.00219356521452096	0.00899648203869097	0.059122269492667	0.315778039800838	0.984675654425442	8.2734617016336
between_leiden_communities	762	0.039423066679062	0.0676738389554958	0	2.87609682619872e-07	0.00195890844483504	0.0077548527302605	0.0425155196665562	0.192069243374448	0.415460538796714	12.6893493679679
