category	n	mean	sd	min	q05	q25	median	q75	q95	max
all_off_diagonal	820	0.0685096905965541	0.131422443888731	0	4.23380532332818e-07	0.00232989142184578	0.00967416622658551	0.0675326794509016	0.356724100230269	0.984675654425442
within_leiden_community	58	0.450647749650503	0.164694123888327	0.163348123047521	0.25716026165164	0.324454384588342	0.431173649016432	0.515797510576294	0.799279037071597	0.984675654425442
between_leiden_communities	762	0.039423066679062	0.0676738389554958	0	2.87609682619872e-07	0.00195890844483504	0.0077548527302605	0.0425155196665562	0.192069243374448	0.415460538796714
